CellId,CellName,XcoordStart,YcoordStart,XcoordEnd,YcoordEnd,XcoordCenter,YcoordCenter
0,c1,12,22,14,26,13,22
1,c2,14,22,16,26,15,22
2,c3,16,22,18,26,17,22
3,c4,18,22,20,26,19,22
4,c5,20,22,22,26,21,22
5,c6,26,22,28,26,27,22
6,c7,28,22,30,26,29,22
7,c8,30,22,32,26,31,22
8,c9,32,22,34,26,33,22
9,c10,34,22,36,26,35,22
10,c11,12,14,14,18,13,14
11,c12,14,14,16,18,15,14
12,c13,16,14,18,18,17,14
13,c14,18,14,20,18,19,14
14,c15,20,14,22,18,21,14
15,c16,26,14,28,18,27,14
16,c17,28,14,30,18,29,14
17,c18,30,14,32,18,31,14
18,c19,32,14,34,18,33,14
19,c20,34,14,36,18,35,14
20,c21,12,6,14,10,13,6
21,c22,14,6,16,10,15,6
22,c23,16,6,18,10,17,6
23,c24,18,6,20,10,19,6
24,c25,20,6,22,10,21,6
25,c26,26,6,28,10,27,6
26,c27,28,6,30,10,29,6
27,c28,30,6,32,10,31,6
28,c29,32,6,34,10,33,6
29,c30,34,6,36,10,35,6
